"case","iter","model","mse","intercept","b_X1","b_X2","b_X2sq","b_X1X2"
"double_snorm",1,"simple",0.62356333282812,1.08947006264639,1.0830598606566,0.316658483590811,NA,NA
"double_snorm",1,"ideal",0.00976022383718272,0.505344688253504,0.999291628571933,NA,0.601187478130737,NA
"double_snorm",1,"mixed",0.476988506860093,1.04357009101291,1.09077416208245,0.239856933631127,NA,0.386995820041438
"double_snorm",2,"simple",0.735319696139952,1.11090638137612,0.924551228400738,-0.128239065385961,NA,NA
"double_snorm",2,"ideal",0.00958911395641499,0.509575989057129,1.01090547523933,NA,0.595921264966513,NA
"double_snorm",2,"mixed",0.728407880931232,1.10662014094865,0.924366273661109,-0.132201942373658,NA,-0.0729935071291963
"double_snorm",3,"simple",0.555638619069676,1.08472620701286,0.96095563226119,-0.17857197546567,NA,NA
"double_snorm",3,"ideal",0.009267738127897,0.522439767188158,0.989792405162363,NA,0.584085575773172,NA
"double_snorm",3,"mixed",0.496801043309008,1.05986274613059,0.950746201541679,-0.163362761080546,NA,0.269456486519708
"double_snorm",4,"simple",0.682213165308775,1.11410539531362,0.950508645747739,0.359292403237476,NA,NA
"double_snorm",4,"ideal",0.00967751780241198,0.499543677946286,1.0019117971166,NA,0.606266619173947,NA
"double_snorm",4,"mixed",0.580663085781381,1.03860123467422,0.977561645341743,0.320543529383168,NA,-0.271599289866638
"double_snorm",5,"simple",0.849522246695408,1.13049783149481,0.945598486993336,0.159093496021152,NA,NA
"double_snorm",5,"ideal",0.00926778968386792,0.49182992011716,0.99655110887092,NA,0.614354075699741,NA
"double_snorm",5,"mixed",0.785727373000437,1.12746755519491,0.96853615297503,0.16667368926782,NA,0.255982164257643
"double_snorm",6,"simple",0.85201444579094,1.12114568760537,0.868729770863258,-0.0258405266056857,NA,NA
"double_snorm",6,"ideal",0.00959174042028446,0.497727123443663,0.998517777900111,NA,0.608448200377444,NA
"double_snorm",6,"mixed",0.832292254985323,1.11914485383826,0.868019722822319,-0.0557341615867459,NA,-0.152365270385043
"double_snorm",7,"simple",0.837837255493668,1.17675160573941,0.954847248370935,0.0958327245559574,NA,NA
"double_snorm",7,"ideal",0.00965531060280966,0.504726658311833,0.989919652269931,NA,0.60279902312849,NA
"double_snorm",7,"mixed",0.827147343999367,1.1739561652562,0.951091859168155,0.10511598391918,NA,-0.105207766496252
"double_snorm",8,"simple",0.70087712081565,1.18647590332685,1.13576252951621,-0.0206196666146436,NA,NA
"double_snorm",8,"ideal",0.00974652900546768,0.503747701103326,1.00175452946171,NA,0.602419113991834,NA
"double_snorm",8,"mixed",0.697331904339572,1.18971781611194,1.1389979397936,-0.00888147693129743,NA,-0.0608648730873941
"double_snorm",9,"simple",0.448463022831992,0.914838238494228,1.05287682240373,-0.396085069317096,NA,NA
"double_snorm",9,"ideal",0.00970627681459665,0.501629852488015,0.998536980155912,NA,0.606093565951404,NA
"double_snorm",9,"mixed",0.445962769510828,0.912117172126897,1.03930197051029,-0.383358783920065,NA,-0.0610188277712304
"double_snorm",10,"simple",0.844731116823716,1.08624919883321,0.904795875036907,-0.00349494474776555,NA,NA
"double_snorm",10,"ideal",0.00946191965005136,0.496605025861199,0.987716906604543,NA,0.60850551565647,NA
"double_snorm",10,"mixed",0.80872644786953,1.09005673657624,0.895492117001825,0.0502051847961808,NA,0.238931503300194
"double_snorm",11,"simple",0.618419860251863,1.16924074901299,1.13223070457614,-0.116731024988998,NA,NA
"double_snorm",11,"ideal",0.00972020849312925,0.511780921488939,1.00225849511507,NA,0.595133571190273,NA
"double_snorm",11,"mixed",0.61831178838086,1.16872924674696,1.13311183035724,-0.114789478068262,NA,-0.00955608149871396
"double_snorm",12,"simple",0.772991176910488,1.07726972362055,1.03414675048215,0.322968410046153,NA,NA
