"case","model","min_MSE","q25","mean_MSE","median_MSE","q75","max_MSE","sd_MSE"
"nonlinear_corr_a1.5b1","mixed",0.0304554845600968,0.0406332395465998,0.0522754832384784,0.0484088440894225,0.0596509428516104,0.175890260703278,0.0174938499683808
"nonlinear_corr_a1.5b1","simple",0.0459813588313848,0.0968388684867138,0.148126868798196,0.128056243192746,0.170219917716786,0.587906996349572,0.0814311759640835
"nonlinear_corr_a1b0.5","ideal",0.00888803797587049,0.00951984823129688,0.00959414797196969,0.00963831991166461,0.00970831899617598,0.00976290212643443,0.000156156540190392
"nonlinear_corr_a1b0.5","mixed",0.0296732913884075,0.0572046729502001,0.086882558115644,0.0803631330477213,0.106308820778167,0.289467038257859,0.0404144116989391
"nonlinear_corr_a1b0.5","simple",0.0932452313802913,0.140191696779191,0.164683365406216,0.158540224973024,0.180557860634766,0.315635881704603,0.034768114512754
"norm_exp","ideal",0.00875811554010698,0.00951559614665255,0.00958894078505455,0.00964557522744824,0.0097127117291735,0.0097629936515911,0.000170070782074408
"norm_exp","mixed",0.0949320313975478,0.235034056454364,0.4828886807682,0.37534703724671,0.56493892355348,2.73522603103154,0.402190557651892
"norm_exp","simple",0.0949339789196742,0.243834960878337,0.544526211486537,0.400191010666541,0.650982248727778,2.86574153013204,0.466590401422801
"pois_norm","ideal",0.00893761660077882,0.00953641490341372,0.00959893061694288,0.00963989350922589,0.00971533453444262,0.00976267448508887,0.00015332217559475
"pois_norm","mixed",20.686745764556,34.8128954463503,46.070590357356,43.107608818114,53.8271830282312,116.215559384974,16.5619201129238
"pois_norm","simple",20.8013063170715,37.2185726827289,48.1786001159954,45.650902513986,55.5601764360561,117.562350367642,17.2369373491022
"pois_snorm","ideal",0.00866438652491489,0.00951201402150069,0.00958008427108115,0.00963966552767963,0.00971494413730846,0.0097624322897268,0.000189815167883974
"pois_snorm","mixed",0.264323191103375,0.520528729554674,0.686097698750742,0.655031644676824,0.832006600323105,1.93189012987217,0.243239040993414
"pois_snorm","simple",0.28029576194835,0.529056565364491,0.708960494402373,0.668342384100219,0.850303044874515,1.93775185421582,0.250798079809579
"snorm_exp","ideal",0.00880965726585302,0.00948948651414203,0.00956943388811042,0.00963800280025743,0.00970627873384154,0.00976294127848262,0.000197344254566063
"snorm_exp","mixed",0.0540181415660711,0.21392300580919,0.562170739565935,0.341649390917179,0.550671045611811,5.8718197797979,0.733462917607381
"snorm_exp","simple",0.0540240264930371,0.231562979613876,0.646331506152971,0.371818140447442,0.642972319239393,7.74012765168171,0.900513415645722
"t_exp","ideal",0.00889261508359748,0.00953064495884887,0.00958985545470468,0.009637876712314,0.00970737731993386,0.00976284341420573,0.00016766535853215
"t_exp","mixed",0.0763988328891572,0.2386638618107,0.576132512333076,0.357204200647207,0.665079506798453,5.59375608157059,0.670803502472014
"t_exp","simple",0.076437150908635,0.255428857609806,0.621080762067636,0.414225753307691,0.742670114795577,5.65480897430967,0.70378779862473
"t_norm","ideal",0.0089217322838146,0.0095188678897237,0.00959700413548832,0.00964932712369173,0.00971672346490986,0.00976278342921529,0.000163403244467214
"t_norm","mixed",13.3035642677348,37.2387857491464,47.173774814733,46.2271130224075,56.3187290769217,94.5163843002236,13.8210549720354
"t_norm","simple",13.6945814181437,38.8801918246864,48.7354040974524,47.4708542538946,58.738132930528,94.5164536135353,14.1839214268898
"t_snorm","ideal",0.00883694088484309,0.00955488899022771,0.00960208431888262,0.0096457592463578,0.00970562800666059,0.00976249400856966,0.000150641315774767
"t_snorm","mixed",0.211531703160951,0.516245345216853,0.673710711817638,0.65265128932983,0.804291539307995,1.38131833012764,0.212746321669651
"t_snorm","simple",0.215491722853282,0.531052977572457,0.699344043968395,0.68601390884413,0.839473057378407,1.45929077789336,0.224917741455321
