"case","model","min_MSE","q25","mean_MSE","median_MSE","q75","max_MSE","sd_MSE"
"bimodal_snorm","ideal",0.00996845782266605,0.0105351797001091,0.0106080438894884,0.0106708532798933,0.0107288590992713,0.0107639195209319,0.000162633659194356
"bimodal_snorm","mixed",0.269068881986164,0.509189177448998,0.683323217700284,0.655374887195228,0.822631176315978,1.39447828944537,0.228459294187467
"bimodal_snorm","simple",0.270067202838465,0.533361940053632,0.710223311930996,0.681781281662562,0.858869966675883,1.44751787204156,0.241604597065825
"double_snorm","ideal",0.00993679706438028,0.0105235630830918,0.0105912827249357,0.0106389566778243,0.0107052326431712,0.0107634320039005,0.000150538364518986
"double_snorm","mixed",0.287078290985603,0.512932071204851,0.655468163946704,0.638934714114891,0.755205589891768,1.57712245086007,0.210736127835744
"double_snorm","simple",0.288070786139762,0.527944088400673,0.677262510008572,0.65942651101119,0.778253253995905,1.585464996218,0.216313976892918
"double_unif_narrow","ideal",0.00989005531268189,0.010551736601347,0.0106078411234952,0.0106616741000039,0.0107074864471804,0.0107640048292017,0.000152610190449536
"double_unif_narrow","mixed",1.72543651110041,2.32761264880777,2.50524564546112,2.51173875003914,2.68700465062003,3.24303666682696,0.267650712809238
"double_unif_narrow","simple",1.74116760100774,2.36630651065203,2.53455805385887,2.52961965582327,2.71803623279145,3.24613644162835,0.267185695655455
"double_unif_wide","ideal",0.00947331624641798,0.0105067278755074,0.0105698593630746,0.0106312953729385,0.0107039889756761,0.010760925873418,0.000199144112077134
"double_unif_wide","mixed",13.2484270565083,17.7052583691539,19.0940759235021,19.0549971781432,20.4186563230273,24.0611164793772,1.99927382703633
"double_unif_wide","simple",13.2938887523093,18.0145220324377,19.3935835627951,19.4034680855247,20.7981517255108,24.4957608004037,2.04162069512911
"exp_norm","ideal",0.00938002081615893,0.0105317396389772,0.0105883076179413,0.0106335099450668,0.0107102060855346,0.0107637140714993,0.000187008680917416
"exp_norm","mixed",19.6850007669976,35.725581325649,48.6041271940136,46.1628309030003,56.0800855906322,101.657570535133,17.01917840308
"exp_norm","simple",19.7889962430024,36.7556728951566,50.6243454078643,47.9994937702041,59.038662414977,114.15893592876,17.9744051827943
"hidden_impact","ideal",0.0097751848831781,0.0104889583262295,0.0105754802240005,0.0106293126731642,0.0106945885125451,0.0107627793459366,0.000165907741616875
"hidden_impact","mixed",0.00977518488317776,0.0104889583262299,0.0105754802240005,0.0106293126731644,0.0106945885125452,0.0107627793459368,0.000165907741616883
"hidden_impact","simple",0.744396953415009,2.10611359951624,2.69786892278212,2.5232076288822,3.16797963573383,6.79088271419335,0.86681384219815
"linear_corr_snorm_rho0.5","ideal",0.00953182768424982,0.0105258024063378,0.0105892181776132,0.0106504161855942,0.0107057230356776,0.010763830496482,0.000189101030347421
"linear_corr_snorm_rho0.5","mixed",0.170355046338008,0.307775636490302,0.409482853579373,0.392064759765868,0.49007204569571,0.923094254130715,0.129679088331556
"linear_corr_snorm_rho0.5","simple",0.281373159417046,0.513626305638415,0.685029264106824,0.655062689359324,0.803495563795946,1.86454284198896,0.241358890728251
"linear_corr_snorm_rho0.9","ideal",0.00959770578489187,0.0104618914051441,0.0105556202262061,0.0106194012650182,0.010702574140457,0.0107636648823599,0.000200128360263917
"linear_corr_snorm_rho0.9","mixed",0.0352085108833404,0.0635594155164569,0.0786747603059929,0.0776277930476115,0.0913436042381552,0.130315699422664,0.0190750627576909
"linear_corr_snorm_rho0.9","simple",0.305308134179389,0.527439169611485,0.696609214201621,0.660675176006182,0.822191024523188,1.90628196656987,0.245182654853564
"linear_corr_snormrho0.2","ideal",0.00987259032869195,0.0105074731617607,0.0105976484304397,0.010663977817462,0.0107263274698818,0.0107636050863134,0.00017089840052838
"linear_corr_snormrho0.2","mixed",0.245332335037837,0.456798838762801,0.596623181453099,0.562558632665584,0.694305798957771,1.43835904657836,0.20228175321288
"linear_corr_snormrho0.2","simple",0.247002435616421,0.529989696159936,0.666157468849758,0.633698212187389,0.799097811836823,1.52269812291188,0.219055152617544
"nonlinear_corr_a0.5b0.2","ideal",0.00972381930624407,0.010590499435939,0.0106338861303392,0.0106588982092327,0.0107255260271605,0.0107618922130681,0.000131869209223195
"nonlinear_corr_a0.5b0.2","mixed",0.105830122591907,0.190249543941007,0.246654679217279,0.233000096733539,0.283924152388623,0.663414492700674,0.0765060878153814
"nonlinear_corr_a0.5b0.2","simple",0.287732699251585,0.510765356636346,0.674379624040528,0.649028718992267,0.796830964905939,1.55703538119422,0.216586367211163
"nonlinear_corr_a1.5b1","ideal",0.00992751231062801,0.0105125463201258,0.0105792460840553,0.0106366109315826,0.0106994595661588,0.0107622079167798,0.000167419527213155
"nonlinear_corr_a1.5b1","mixed",0.0306757544558186,0.0482727410019045,0.0596866018562031,0.0557647224088636,0.0667300282417766,0.142487434899344,0.0178767702829422
"nonlinear_corr_a1.5b1","simple",0.0459713025655205,0.0999836703420887,0.149013459083606,0.127365785900368,0.17310348581443,0.59260197061741,0.0809228539963544
"nonlinear_corr_a1b0.5","ideal",0.00970364184396606,0.01053456329233,0.0105734473112242,0.0106203220865897,0.0106981304246272,0.0107626303453557,0.000193342977097967
"nonlinear_corr_a1b0.5","mixed",0.0303732809239072,0.0604083166966435,0.0906772779232913,0.0841846918301795,0.112706863539522,0.28627927312881,0.0403622110587509
"nonlinear_corr_a1b0.5","simple",0.091546141539281,0.165955793949019,0.193772974585964,0.188108706291177,0.214310572001737,0.352049246582349,0.0412328534043171
"norm_exp","ideal",0.00998523787570492,0.0105155924578114,0.0105920528672276,0.0106256371044013,0.0107071098951082,0.0107639673589029,0.000151857514771143
"norm_exp","mixed",0.089680464033561,0.227291700806674,0.482858686768056,0.372263015562802,0.564748480149094,2.76169452493316,0.402704600433121
"norm_exp","simple",0.0897981663259185,0.234212347287869,0.544110349771026,0.406788702831259,0.662216304415925,2.88568476825601,0.466172704723401
"pois_norm","ideal",0.00963378307920243,0.0105234879545608,0.0105875624628298,0.0106285892619251,0.0107116196175599,0.0107618763599425,0.000173259839547844
"pois_norm","mixed",20.8060096164301,34.7778523311825,46.0729834195211,43.0204487205777,53.7303528869517,115.691369021891,16.5534294697532
"pois_norm","simple",20.8917667133427,37.1284260795866,48.1804963083664,45.5060896819338,55.4616254749088,117.090303567919,17.2214242176261
"pois_snorm","ideal",0.00955777128621587,0.0105298023342176,0.0105903686994182,0.0106369431706476,0.0107281658327976,0.0107632779539414,0.000182637911482942
