"case","iter","model","mse","intercept","b_X1","b_X2","b_X2sq","b_X1X2"
"double_snorm",1,"simple",2.38494103476607,1.14804520073914,0.806033994168663,0.048238903630189,NA,NA
"double_snorm",1,"ideal",0.0102393477715628,0.504136154980383,0.997687706117294,NA,0.5976401272132,NA
"double_snorm",1,"mixed",1.91383033461548,1.11100466129882,0.808647173222364,0.0896579669307439,NA,0.208272394626439
"double_snorm",2,"simple",0.786897458478362,1.07169407354018,1.09444136296749,0.25038595292919,NA,NA
"double_snorm",2,"ideal",0.00693039107919067,0.496508834988722,0.997544058394792,NA,0.612041536371026,NA
"double_snorm",2,"mixed",0.876839532270713,1.03534546821623,1.08272931526956,0.264285933332602,NA,-0.304582759370277
"double_snorm",3,"simple",0.57025390988252,1.03879783336348,0.934877096214842,-0.419940245455759,NA,NA
"double_snorm",3,"ideal",0.00653653502829586,0.476953864261366,1.00841831866054,NA,0.603813551294187,NA
"double_snorm",3,"mixed",0.602732040770661,1.01186200703255,0.991872383220682,-0.460629939972368,NA,-0.36248046043945
"double_snorm",4,"simple",0.239865800638314,0.992108386970953,0.902726768335076,0.0129798189258063,NA,NA
"double_snorm",4,"ideal",0.0103845292905243,0.473515624457519,0.999894169839303,NA,0.609627042119189,NA
"double_snorm",4,"mixed",0.221095970708218,0.984172056216233,0.874274978690117,0.0373742488037425,NA,0.0992248280937818
"double_snorm",5,"simple",0.376869636135758,1.06730464885133,1.01917144370654,-0.232252012360221,NA,NA
"double_snorm",5,"ideal",0.0138425368660957,0.516077503708059,1.00344872448466,NA,0.598588693856492,NA
"double_snorm",5,"mixed",0.337540113431791,1.02231473794707,1.06932638574992,-0.214013435967759,NA,0.253097469315443
"double_snorm",6,"simple",0.565339771519043,1.01059610380868,0.905179124286187,-0.269889777839603,NA,NA
"double_snorm",6,"ideal",0.0100863869060873,0.476485340445794,1.01053465047668,NA,0.614636186129187,NA
"double_snorm",6,"mixed",0.560117936354385,1.00212092525724,0.923903012359939,-0.275564543360855,NA,0.298352659791138
"double_snorm",7,"simple",0.417883336542181,1.0851802295813,1.05607372440998,-0.36580085980596,NA,NA
"double_snorm",7,"ideal",0.00996764214477745,0.511242740973968,0.985364155124341,NA,0.597346391361331,NA
"double_snorm",7,"mixed",0.411962502442303,1.08244741762629,1.05311368000855,-0.363820672283455,NA,-0.0254784680037154
"double_snorm",8,"simple",0.297860330299834,0.979802171298405,1.00176107759781,0.00806275642394514,NA,NA
"double_snorm",8,"ideal",0.00814190149835847,0.488913051888264,1.00557490100219,NA,0.599048159510399,NA
"double_snorm",8,"mixed",0.348189102682089,0.977905941133252,0.999740974827871,-0.0032244278767972,NA,-0.0676629697130347
"double_snorm",9,"simple",0.388392962118946,1.13509383390971,1.06162272288437,-0.106175901709215,NA,NA
"double_snorm",9,"ideal",0.0108004396399498,0.481731349147081,1.003206206075,NA,0.607766596140679,NA
"double_snorm",9,"mixed",0.527151369334894,1.11306425367019,1.03329752539009,-0.0722191336576736,NA,-0.255839370286753
"double_snorm",10,"simple",1.21715085049397,1.21307520339703,0.897002241477772,-0.122705709127549,NA,NA
"double_snorm",10,"ideal",0.0136523075963667,0.530353706486841,0.990057126248765,NA,0.585678159404221,NA
"double_snorm",10,"mixed",1.54701295344298,1.19078362563159,0.932632473555667,-0.109094876026166,NA,0.213900500038087
"double_snorm",11,"simple",1.05655932420953,1.01939627893231,0.937200778760317,0.314696888096052,NA,NA
"double_snorm",11,"ideal",0.00597180963084939,0.491816776341512,1.00456545343925,NA,0.600910863546403,NA
"double_snorm",11,"mixed",0.91122741890771,1.00486327008856,1.02102698504784,0.287533071059111,NA,-0.240641154570962
"double_snorm",12,"simple",0.517968776100454,1.0445809104645,0.958430111383987,-0.246418970542214,NA,NA
"double_snorm",12,"ideal",0.00624716033726226,0.495954679028443,0.997635387789049,NA,0.604003128217053,NA
"double_snorm",12,"mixed",0.985524792679659,1.00644354604128,1.04561978922059,-0.247088242250836,NA,0.349174109148226
"double_snorm",13,"simple",3.10577787261027,1.01554891874074,1.08128283462156,0.0699448708268137,NA,NA
"double_snorm",13,"ideal",0.0108221412241382,0.493382559602498,1.00713895537539,NA,0.594807157999976,NA
"double_snorm",13,"mixed",2.81494599384893,1.01471993064583,1.08145045039925,0.0651290649237688,NA,0.0884180729934202
"double_snorm",14,"simple",1.74902052879241,0.970112704413211,1.01861019242875,-0.0333652722954728,NA,NA
"double_snorm",14,"ideal",0.00610566177144048,0.509953610940822,1.00280532969963,NA,0.596370623305075,NA
"double_snorm",14,"mixed",1.64034726148669,0.966008423383051,1.00323213923251,-0.0238703360379007,NA,0.0811802049255224
"double_snorm",15,"simple",0.294252210851524,1.14299844022097,1.04771901847317,-0.231620982451426,NA,NA
"double_snorm",15,"ideal",0.00868179065228509,0.4884376927659,0.988256484350397,NA,0.603473652852288,NA
"double_snorm",15,"mixed",0.304355033553871,1.12493788697349,0.995449598934019,-0.213888496923443,NA,-0.130978270030437
"double_snorm",16,"simple",1.0556524295704,1.06287736184234,1.01493726356445,0.212010275278294,NA,NA
"double_snorm",16,"ideal",0.00768188702967841,0.488637536449215,1.00461352434471,NA,0.604035969645863,NA
"double_snorm",16,"mixed",1.25242315576722,1.03404396791518,1.02523285421735,0.202043185198409,NA,0.125970025095946
"double_snorm",17,"simple",0.374049465263588,1.15891287687448,1.19170335878088,-0.0322463262851823,NA,NA
"double_snorm",17,"ideal",0.0139045268886392,0.487614205605712,1.01052866563455,NA,0.603847408940229,NA
"double_snorm",17,"mixed",0.337957948826427,1.15295844949281,1.19001642459849,-0.0622999239496441,NA,0.117079756380681
"double_snorm",18,"simple",0.305846958490353,1.01251902555809,1.00531796822887,0.125564787759957,NA,NA
"double_snorm",18,"ideal",0.00981738830353272,0.502833050075807,0.999562605477217,NA,0.609945671051213,NA
"double_snorm",18,"mixed",0.314733800352807,0.982821447315845,0.997020383437296,0.128209259721936,NA,-0.230302253515372
"double_snorm",19,"simple",1.007536945471,1.19759230803179,0.99435541666737,0.0795899061630545,NA,NA
"double_snorm",19,"ideal",0.00623785299906116,0.499226135513437,0.996382847409434,NA,0.592774918395768,NA
"double_snorm",19,"mixed",1.12615278702788,1.16765498663624,0.99123593280403,0.058628511066622,NA,-0.189747450715642
"double_snorm",20,"simple",1.14205658257909,0.99440077732734,0.945376065900206,0.432828869793565,NA,NA
"double_snorm",20,"ideal",0.00789098186543451,0.483992078862595,1.00102765121742,NA,0.607953370912462,NA
"double_snorm",20,"mixed",1.03928070486637,0.985190075013515,0.951092803631069,0.38623721230002,NA,-0.206786859512289
"double_snorm",21,"simple",0.863765255060632,1.21549530936935,0.91343598873939,0.0465483947344984,NA,NA
"double_snorm",21,"ideal",0.0101016199975477,0.510666607879036,0.98946404829869,NA,0.603004192836624,NA
"double_snorm",21,"mixed",0.851768614720117,1.19269107963524,0.910011932939769,0.0509614998609875,NA,0.191125129331261
"double_snorm",22,"simple",0.737984388467066,1.02660112069305,0.877377878906449,0.0785418373388789,NA,NA
"double_snorm",22,"ideal",0.0133462092244181,0.506997571429113,0.993428199505911,NA,0.597631160289991,NA
"double_snorm",22,"mixed",0.818488682563409,1.03103869274918,0.891063244070794,0.0663343956986784,NA,-0.0826694984302042
"double_snorm",23,"simple",1.09021929793655,1.08871420658643,0.907163642923142,0.286601756143817,NA,NA
"double_snorm",23,"ideal",0.0125769261087984,0.506742354588162,0.995853516483338,NA,0.600291913198594,NA
"double_snorm",23,"mixed",1.03528021652079,1.08820629944684,0.948102070390807,0.254832022526291,NA,-0.165607739977053
"double_snorm",24,"simple",0.518870104792651,0.969806712083381,1.01563483333905,0.226574659033646,NA,NA
"double_snorm",24,"ideal",0.0085794338257195,0.499190383657954,1.01093013050398,NA,0.593084665212391,NA
"double_snorm",24,"mixed",0.489526580945916,0.971297866006273,1.03042484757803,0.23485157908571,NA,0.0573571642653186
"double_snorm",25,"simple",1.05846114984679,1.1928842675261,0.862338083836685,-0.379611309695638,NA,NA
"double_snorm",25,"ideal",0.00878952601711729,0.520548221013049,0.983524605116381,NA,0.597222535408881,NA
"double_snorm",25,"mixed",0.97721822596117,1.18956854119187,0.85128216058187,-0.381925807091667,NA,-0.0941985350380436
"double_snorm",26,"simple",1.3404187055564,1.04448829960855,1.08138563762285,-0.148598297304159,NA,NA
