"case","iter","model","mse","intercept","b_X1","b_X2","b_X2sq","b_X1X2"
"double_snorm",10,"ideal",0.0107728439299085,0.517447176308305,0.985276334965028,NA,0.589386788879426,NA
"double_snorm",10,"mixed",0.764463569787953,1.09284864835111,0.895889719545829,0.0251703481619278,NA,0.215877712486068
"double_snorm",11,"simple",0.641712377233935,1.17216311455008,1.12691918233802,-0.125465294168682,NA,NA
"double_snorm",11,"ideal",0.0110717501286747,0.501591188900799,0.994716125996996,NA,0.606590172916071,NA
"double_snorm",11,"mixed",0.641703298879992,1.17231136457748,1.12666380336931,-0.126028017744535,NA,0.00276966386681952
"double_snorm",12,"simple",0.794864310183681,1.08082874392455,1.04313096122694,0.324569017247991,NA,NA
"double_snorm",12,"ideal",0.0110029211623066,0.506772853818207,1.01091963856662,NA,0.603740626336865,NA
"double_snorm",12,"mixed",0.777299149372599,1.06536402832709,1.05069819053943,0.328511672359587,NA,0.135362184293062
"double_snorm",13,"simple",0.756310830249776,1.13681664347844,1.09675709790903,-0.178605253699954,NA,NA
"double_snorm",13,"ideal",0.0109560006129166,0.506178461834178,1.01324780010514,NA,0.601433763791663,NA
"double_snorm",13,"mixed",0.752364028485962,1.13895432973393,1.0918845365272,-0.166561057778304,NA,-0.0547285790569644
"double_snorm",14,"simple",0.845800636106482,1.12666294620794,0.946071777483338,-0.0938441442132068,NA,NA
"double_snorm",14,"ideal",0.0110424399025343,0.515463522371939,1.004363297364,NA,0.593619211950092,NA
"double_snorm",14,"mixed",0.843072313032581,1.12013755893512,0.940603382447632,-0.0858017917885634,NA,0.0651610012973203
"double_snorm",15,"simple",0.643877472743488,1.20008834642154,1.04398517434644,0.0494316328885735,NA,NA
"double_snorm",15,"ideal",0.0110372896026847,0.514994104623181,0.99115382148248,NA,0.595024502521722,NA
"double_snorm",15,"mixed",0.613215408200547,1.18426455430917,1.02562786335711,0.0284281225066783,NA,0.175571265089144
"double_snorm",16,"simple",0.364281448799902,0.928796979106007,0.922631864995047,-0.286166365711486,NA,NA
"double_snorm",16,"ideal",0.0106847377211666,0.492283115738205,1.0036561492934,NA,0.621004126922467,NA
"double_snorm",16,"mixed",0.361410353815142,0.923905530617398,0.905640390489711,-0.297900924310895,NA,-0.0641399057357345
"double_snorm",17,"simple",0.993024634789593,1.30173676854496,1.09579983621369,-0.00232035091250876,NA,NA
"double_snorm",17,"ideal",0.0110937426120856,0.503855197604035,1.00660690560251,NA,0.602848991379995,NA
"double_snorm",17,"mixed",0.992043228245315,1.30006320109254,1.09844913688876,0.00475066553166743,NA,-0.0264556736012285
"double_snorm",18,"simple",0.747783105077679,1.12315185333923,1.13988655840633,-0.167009203957946,NA,NA
"double_snorm",18,"ideal",0.0110600842550672,0.505259711208236,1.00959412069151,NA,0.60364513527057,NA
"double_snorm",18,"mixed",0.747772442133287,1.12274758970653,1.14000031613133,-0.167400138869945,NA,0.00381049463408681
"double_snorm",19,"simple",0.727773309713971,1.10471453530819,1.01312804916617,-0.074325076643115,NA,NA
"double_snorm",19,"ideal",0.0111024883090446,0.506648578491782,1.00683585977912,NA,0.601820927756776,NA
"double_snorm",19,"mixed",0.727644586899336,1.10539663590731,1.01246440136445,-0.0736330790932928,NA,-0.0125545592064627
"double_snorm",20,"simple",0.692371366867116,1.05114274875694,1.06560617578578,-0.0902394215150941,NA,NA
"double_snorm",20,"ideal",0.0111046776307664,0.504650477171043,0.99539793624652,NA,0.604613787040087,NA
"double_snorm",20,"mixed",0.689877522646155,1.05437653816042,1.06611292001577,-0.0811807776107525,NA,-0.0629071044560345
"double_snorm",21,"simple",0.798178483690357,1.16519063103608,1.13012238098034,-0.208493289544484,NA,NA
"double_snorm",21,"ideal",0.0109767511746416,0.499435175386608,1.00375946312957,NA,0.608447481016876,NA
"double_snorm",21,"mixed",0.782065558877988,1.14863474951922,1.16407095452038,-0.22630475795205,NA,0.129210719657444
"double_snorm",22,"simple",0.524245962553254,1.01642298907459,1.05831116349694,-0.11753029707642,NA,NA
"double_snorm",22,"ideal",0.0106483118119164,0.523114604613685,1.00935664854413,NA,0.58274304963515,NA
"double_snorm",22,"mixed",0.519793921812309,1.0080922450586,1.0547639594556,-0.122877307410502,NA,0.0811311877031948
"double_snorm",23,"simple",0.698184401335926,1.17674815749797,0.983207002544606,0.189609022039177,NA,NA
"double_snorm",23,"ideal",0.0107156372907555,0.492709224730022,0.991553627770928,NA,0.613792883111749,NA
"double_snorm",23,"mixed",0.696913920142963,1.17577412774541,0.995488886924376,0.187834168753195,NA,-0.037440889332627
"double_snorm",24,"simple",0.719587971521446,1.11275200807055,1.03035852845611,-0.0836793852160317,NA,NA
"double_snorm",24,"ideal",0.0110490096350857,0.508024271483237,1.01037728647271,NA,0.601008074547273,NA
"double_snorm",24,"mixed",0.712312054677207,1.10774700166752,1.06706909414685,-0.079334751444843,NA,-0.102237727257488
"double_snorm",25,"simple",1.04251237729384,1.15355760616506,0.885746254136121,0.146785432453719,NA,NA
"double_snorm",25,"ideal",0.0111586011039232,0.508343585631063,0.99852412587933,NA,0.600407324368101,NA
"double_snorm",25,"mixed",0.947739576687515,1.08865842115327,0.945168664433034,0.091926258005128,NA,-0.335113621782479
"double_snorm",26,"simple",0.919827799845432,1.20658169958586,1.11930973935463,-0.307863038453193,NA,NA
"double_snorm",26,"ideal",0.0110477633490013,0.501792621732669,0.992984897457797,NA,0.605509980887603,NA
"double_snorm",26,"mixed",0.911919681978156,1.20246666080741,1.10885583130731,-0.296280733280156,NA,-0.0824942852882722
"double_snorm",27,"simple",0.576340594367747,1.11113362362721,0.889829647099844,-0.248326051411301,NA,NA
"double_snorm",27,"ideal",0.0108627389509345,0.50107891546348,0.988417493140281,NA,0.60775880339309,NA
"double_snorm",27,"mixed",0.575362933432309,1.10934144728827,0.893792971587376,-0.242077582520486,NA,0.0302660118439103
"double_snorm",28,"simple",0.378298657215578,1.02711051254428,0.86610660754879,-0.0995349528911228,NA,NA
"double_snorm",28,"ideal",0.0107192045653109,0.526679706349054,0.991903260514173,NA,0.580347311242692,NA
"double_snorm",28,"mixed",0.370798471090771,1.02128420394872,0.891372874868227,-0.0915971520442437,NA,0.102924998921866
"double_snorm",29,"simple",0.397190238889263,1.03776771909711,0.997212580597716,0.0427622891882198,NA,NA
"double_snorm",29,"ideal",0.0103191559150896,0.526654550474095,1.02109235005014,NA,0.58208836746565,NA
"double_snorm",29,"mixed",0.383908085192185,1.03104325643444,0.957172035036763,0.0215350879216333,NA,-0.137655933056399
